County,StateRate,CountyRate,CityRate,SpecialRate
Albany,0.04,0.04,0,0
Allegany,0.04,0.045,0,0
Bronx,0.04,0,0.045,0.00375
Broome,0.04,0.04,0,0
Cattaraugus,0.04,0.04,0,0
Cayuga,0.04,0.04,0,0
Chautauqua,0.04,0.04,0,0
Chemung,0.04,0.04,0,0
Chenango,0.04,0.04,0,0
Clinton,0.04,0.04,0,0
Columbia,0.04,0.04,0,0
Cortland,0.04,0.04,0,0
Delaware,0.04,0.04,0,0
Dutchess,0.04,0.0375,0,0.00375
Erie,0.04,0.0475,0,0
Essex,0.04,0.04,0,0
Franklin,0.04,0.04,0,0
Fulton,0.04,0.04,0,0
Genesee,0.04,0.04,0,0
Greene,0.04,0.04,0,0
Hamilton,0.04,0.04,0,0
Herkimer,0.04,0.0425,0,0
Jefferson,0.04,0.04,0,0
Kings,0.04,0,0.045,0.00375
Lewis,0.04,0.04,0,0
Livingston,0.04,0.04,0,0
Madison,0.04,0.04,0,0
Monroe,0.04,0.04,0,0
Montgomery,0.04,0.04,0,0
Nassau,0.04,0.0425,0,0.00375
New York,0.04,0,0.045,0.00375
Niagara,0.04,0.04,0,0
Oneida,0.04,0.0475,0,0
Onondaga,0.04,0.04,0,0
Ontario,0.04,0.035,0,0
Orange,0.04,0.0375,0,0.00375
Orleans,0.04,0.04,0,0
Oswego,0.04,0.04,0,0
Otsego,0.04,0.04,0,0
Putnam,0.04,0.04,0,0.00375
Queens,0.04,0,0.045,0.00375
Rensselaer,0.04,0.04,0,0
Richmond,0.04,0,0.045,0.00375
Rockland,0.04,0.04,0,0.00375
Saratoga,0.04,0.03,0,0
Schenectady,0.04,0.04,0,0
Schoharie,0.04,0.04,0,0
Schuyler,0.04,0.04,0,0
Seneca,0.04,0.04,0,0
St. Lawrence,0.04,0.04,0,0
Steuben,0.04,0.04,0,0
Suffolk,0.04,0.0425,0,0.00375
Sullivan,0.04,0.04,0,0
Tioga,0.04,0.04,0,0
Tompkins,0.04,0.04,0,0
Ulster,0.04,0.04,0,0
Warren,0.04,0.03,0,0
Washington,0.04,0.03,0,0
Wayne,0.04,0.04,0,0
Westchester,0.04,0.04,0,0.00375
Wyoming,0.04,0.04,0,0
Yates,0.04,0.04,0,0
